invoice_no,transaction_date,customer_id,description,category,order_city,state,order_postal,region,latitude,longitude,quantity,costs,profit_per_unit,baseline_shipping_cost,hypothesis_factor,hypothesis_shipping_costs,profit_before_shipping,profit_after_baseline,profit_after_hypothesis
551824,5/4/2021 12:32,15128,Canned Cat Food,Food,pittsfield,MA,01201-8516,East,42.4501,-73.2454,1,9,10.5,9,1.0,9,10.5,1.5,1.5
551833,5/4/2021 13:12,16779,Earth Rated Dog Poop Bags,Disposables,tulsa,OK,74132-2858,Central,36.1012,-95.9251,2,4,7.48,6.8,0.8,6.4,14.96,8.16,8.56
551833,5/4/2021 13:12,16779,Purina Pro Plan Adult Sensitive Skin,Supplements,tulsa,OK,74132-2858,Central,36.1012,-95.9251,2,10,17.5,17.0,0.8,16.0,35.0,18.0,19.0
551834,5/4/2021 13:13,16610,Dog and Puppy Pads,Disposables,cincinnati,OH,45245-1112,Central,39.1015,-84.5125,1,5,11.7,5,1.0,5,11.7,6.7,6.7
551835,5/4/2021 13:17,17646,Rechargeable Pet Nail Grinder,Grooming,pasadena,TX,77506-4967,Central,29.6911,-95.2091,1,5,10.5,5,1.0,5,10.5,5.5,5.5
551843,5/4/2021 13:57,16094,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",Disposables,raritan,NJ,08869-1353,East,40.5,-74.86,1,12,11.7,12,1.0,12,11.7,-0.300000000000001,-0.300000000000001
551843,5/4/2021 13:57,,Purina ONE SmartBlend Natural Adult Chicken 10lb,Food,,,,,,,1,10,11.7,10,1.0,10,11.7,1.7,1.7
551845,5/4/2021 14:03,17961,Purina Pro Plan Adult Sensitive Skin,Supplements,arlington,WA,98223-5024,West,48.1811,-122.139,1,10,24.7,10,1.0,10,24.7,14.7,14.7
551845,5/4/2021 14:03,17961,Sheba Perfect Portions Paté Wet Cat Food,Food,arlington,WA,98223-5024,West,48.1811,-122.139,1,2.5,2.6,2.5,1.0,2.5,2.6,0.1,0.1
551846,5/4/2021 14:11,13047,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",Disposables,orange,CA,92869-4525,West,33.7873,-117.8503,2,12,11.7,20.4,0.8,19.2,23.4,3.0,4.2
551846,5/4/2021 14:11,13047,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,orange,CA,92869-4525,West,33.7873,-117.8503,1,20,41.5,20,1.0,20,41.5,21.5,21.5
551850,5/4/2021 14:33,13731,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",Disposables,clermont,FL,34711-5731,East,28.5494,-81.7729,1,12,11.7,12,1.0,12,11.7,-0.300000000000001,-0.300000000000001
551850,5/4/2021 14:33,13731,Pet Odor Eliminator,Cleanig Supplies,clermont,FL,34711-5731,East,28.5494,-81.7729,2,4,6.14,6.8,0.8,6.4,12.28,5.48,5.88
551851,5/4/2021 14:43,17511,Purina ONE SmartBlend Natural Adult Chicken 10lb,Food,dickinson,TX,77539-3312,Central,29.4608,-95.0513,25,10,6.9,178.0,0.3,75.0,172.5,-5.5,97.5
551852,5/4/2021 14:52,14948,Rechargeable Pet Nail Grinder,Grooming,lake charles,LA,70601,Central,30.2266,-93.2174,1,5,10.5,5,1.0,5,10.5,5.5,5.5
,5/4/2021 14:55,13576,Canned Cat Food,Food,colorado springs,CO,80917-3544,Central,38.834,-104.8253,12,9,8.34,78.3,0.3,32.4,100.08,21.78,67.68
551855,5/4/2021 15:08,12836,Earth Rated Dog Poop Bags,Disposables,grover beach,CA,93433-1246,West,35.1209,-120.6218,1,4,7.48,4,1.0,4,7.48,3.48,3.48
551855,5/4/2021 15:08,12836,NexGard Chew for Dogs,Food,grover beach,CA,93433-1246,West,35.1209,-120.6218,1,7,17.7,7,1.0,7,17.7,10.7,10.7
551855,5/4/2021 15:08,12836,Pet Odor Eliminator,Cleanig Supplies,grover beach,CA,93433-1246,West,35.1209,-120.6218,4,4,6.14,12.4,0.6,9.6,24.56,12.16,14.96
551855,5/4/2021 15:08,12836,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,grover beach,CA,93433-1246,West,35.1209,-120.6218,1,20,41.5,20,1.0,20,41.5,21.5,21.5
551857,5/4/2021 15:33,13037,Rechargeable Pet Nail Grinder,Grooming,oceanside,CA,92056,West,33.1959,-117.3795,1,5,10.5,5,1.0,5,10.5,5.5,5.5
551857,5/4/2021 15:33,13037,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,oceanside,CA,92056,West,33.1959,-117.3795,1,20,41.5,20,1.0,20,41.5,21.5,21.5
551858,5/4/2021 15:33,18041,Purina ONE SmartBlend Natural Adult Chicken 10lb,Food,lynnwood,WA,98087-8427,West,47.8279,-122.3054,1,10,11.7,10,1.0,10,11.7,1.7,1.7
551858,5/4/2021 15:33,18041,UltraSound Dog Barking Deterrent,Electronics,lynnwood,WA,98087-8427,West,47.8279,-122.3054,1,5,9.7,5,1.0,5,9.7,4.7,4.7
551860,,15508,Dog and Puppy Pads,Disposables,gladstone,MO,64119,Central,39.2039,-94.5547,1,5,11.7,5,1.0,5,11.7,6.7,6.7
551860,5/4/2021 15:41,15508,Indoor Pet Camera,Electronics,gladstone,MO,64119,Central,39.2039,-94.5547,1,7,-0.3,7,1.0,7,-0.3,-7.3,-7.3
551860,5/4/2021 15:41,15508,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,gladstone,MO,64119,Central,39.2039,-94.5547,1,20,41.5,20,1.0,20,41.5,21.5,21.5
551868,5/4/2021 16:29,12540,Pet Odor Eliminator,Cleanig Supplies,hot springs,AR,71901-9600,Central,34.5038,-93.0552,7,4,6.14,20.8,0.5,14.0,42.98,22.18,28.98
551870,5/4/2021 16:51,17811,Sheba Perfect Portions Pat Wet Cat Food,Food,chesapeake,VA,23320-5202,East,36.7184,-76.2467,17,2.5,1.82,30.5,0.3,12.75,30.94,0.440000000000001,18.19
551875,5/5/2021 8:16,17061,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",Disposables,pittsburgh,PA,15215,East,40.4417,-79.9901,17,12,6.9,146.4,0.3,61.2,117.3,-29.1,56.1
551876,5/5/2021 8:18,14867,Dog and Puppy Pads,Disposables,louisville,KY,40214-4967,Central,38.2542,-85.7594,1,5,11.7,5,1.0,5,11.7,6.7,6.7
551876,5/5/2021 8:18,14867,NexGard Chew for Dogs,Food,louisville,KY,40214-4967,Central,38.2542,-85.7594,1,7,17.7,7,1.0,7,17.7,10.7,10.7
551876,5/5/2021 8:18,14867,Pet Odor Eliminator,Cleanig Supplies,louisville,KY,40214-4967,Central,38.2542,-85.7594,3,4,6.14,9.6,0.6,7.2,18.42,8.82,11.22
551879,,13831,Dog and Puppy Pads,Disposables,lake placid,FL,33852-9743,East,27.2931,-81.3629,11,5,9.3,40.0,0.3,16.5,102.3,62.3,85.8
551880,5/5/2021 9:05,17374,Pet Odor Eliminator,Cleanig Supplies,kodak,TN,37764-2154,Central,35.9745,-83.6268,2,4,6.14,6.8,0.8,6.4,12.28,5.48,5.88
551881,5/5/2021 9:11,13784,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,fort pierce,FL,34979-2537,East,27.4467,-80.3256,1,20,41.5,20,1.0,20,41.5,21.5,21.5
551882,5/5/2021 9:13,13873,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,miami,FL,33132-3021,East,25.7743,-80.1937,1,20,41.5,20,1.0,20,41.5,21.5,21.5
551885,5/5/2021 9:18,,Rechargeable Pet Nail Grinder,Grooming,,,,,,,1,5,10.5,5,1.0,5,10.5,5.5,5.5
551888,5/5/2021 9:29,15304,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,fennville,MI,49408,Central,42.5941,-86.1046,1,20,41.5,20,1.0,20,41.5,21.5,21.5
551893,5/5/2021 10:07,17675,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",Disposables,san antonio,TX,78245-3475,Central,29.4246,-98.4951,2,12,11.7,20.4,0.8,19.2,23.4,3.0,4.2
,5/5/2021 10:07,17675,Rechargeable Pet Nail Grinder,Grooming,san antonio,TX,78245-3475,Central,29.4246,-98.4951,1,5,10.5,5,1.0,5,10.5,5.5,5.5
,5/5/2021 10:22,12877,Indoor Pet Camera,Electronics,la mesa,CA,91941-4209,West,32.7678,-117.0231,3,7,-6.3,16.8,0.6,12.6,-18.9,-35.7,-31.5
551897,5/5/2021 10:31,13711,Dog and Puppy Pads,Disposables,boca raton,FL,33428-4117,East,26.3587,-80.0831,1,5,11.7,5,1.0,5,11.7,6.7,6.7
551944,5/5/2021 11:08,,Sheba Perfect Portions Pat Wet Cat Food,Food,,,,,,,1,2.5,2.6,2.5,1.0,2.5,2.6,0.1,0.1
551944,5/5/2021 11:08,14553,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,mundelein,IL,60060-4843,Central,42.2631,-88.004,1,20,41.5,20,1.0,20,41.5,21.5,21.5
551946,5/5/2021 11:18,18229,Indoor Pet Camera,Electronics,oshkosh,WI,54902-9176,Central,44.0207,-88.5409,3,7,-6.3,16.8,0.6,12.6,-18.9,-35.7,-31.5
551950,5/5/2021 11:38,14911,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,edgard,LA,70049-2017,Central,30.0433,-90.5601,1,20,41.5,20,1.0,20,41.5,21.5,21.5
551953,5/5/2021 11:53,13448,Purina Pro Plan Adult Sensitive Skin,Supplements,pleasanton,CA,94588-4243,West,37.6624,-121.8747,1,10,24.7,10,1.0,10,24.7,14.7,14.7
551953,5/5/2021 11:53,13448,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,pleasanton,CA,94588-4243,West,37.6624,-121.8747,1,20,41.5,20,1.0,20,41.5,21.5,21.5
551954,5/5/2021 12:13,14515,Pet Odor Eliminator,Cleanig Supplies,glenview,IL,60025-5040,Central,42.0701,-87.8114,5,4,6.14,15.2,0.5,10.0,30.7,15.5,20.7
551954,5/5/2021 12:13,,Purina Pro Plan Adult Sensitive Skin,Supplements,,,,,,,2,10,17.5,17.0,0.8,16.0,35.0,18.0,19.0
551960,5/5/2021 12:38,18239,Dog and Puppy Pads,Disposables,slinger,WI,53086-9103,Central,43.3334,-88.2858,1,5,11.7,5,1.0,5,11.7,6.7,6.7
551960,5/5/2021 12:38,18239,Pet Odor Eliminator,Cleanig Supplies,slinger,WI,53086-9103,Central,43.3334,-88.2858,2,4,6.14,6.8,0.8,6.4,12.28,5.48,5.88
551963,5/5/2021 12:52,13266,Purina ONE SmartBlend Natural Adult Chicken 10lb,Food,san ramon,CA,94583-3643,West,37.7799,-121.978,1,10,11.7,10,1.0,10,11.7,1.7,1.7
551966,5/5/2021 13:14,15356,Dog and Puppy Pads,Disposables,spring arbor,MI,49283-9501,Central,42.205,-84.5527,2,5,11.7,8.5,0.8,8.0,23.4,14.9,15.4
551966,5/5/2021 13:14,15356,Pet Odor Eliminator,Cleanig Supplies,spring arbor,MI,49283-9501,Central,42.205,-84.5527,1,4,6.14,4,1.0,4,6.14,2.14,2.14
551967,5/5/2021 13:19,16457,Dog and Puppy Pads,Disposables,new york,NY,10128-3633,East,40.7648,-73.9808,1,5,11.7,5,1.0,5,11.7,6.7,6.7
551967,5/5/2021 13:19,16457,Pet Odor Eliminator,Cleanig Supplies,new york,NY,10128-3633,East,40.7648,-73.9808,3,4,6.14,9.6,0.6,7.2,18.42,8.82,11.22
551976,5/5/2021 13:29,15061,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,newton,MA,02458-2041,East,42.3612,-71.1953,4,20,30.7,62.0,0.6,48.0,122.8,60.8,74.8
551978,5/5/2021 13:43,17527,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,fort worth,TX,76107-4025,Central,32.7532,-97.3327,1,20,41.5,20,1.0,20,41.5,21.5,21.5
551979,5/5/2021 13:44,14199,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,cairo,GA,39828,East,30.8774,-84.2013,3,20,30.7,48.0,0.6,36.0,92.1,44.1,56.1
551981,5/5/2021 13:53,13694,Dog and Puppy Pads,Disposables,new castle,DE,19726-9000,East,39.6621,-75.5663,32,5,9.3,113.5,0.3,48.0,297.6,184.1,249.6
551982,5/5/2021 13:56,15023,Dog and Puppy Pads,Disposables,goshen,MA,01032-9604,East,42.4547,-72.8155,6,5,9.3,22.5,0.5,15.0,55.8,33.3,40.8
551982,5/5/2021 13:56,15023,Earth Rated Dog Poop Bags,Disposables,goshen,MA,01032-9604,East,42.4547,-72.8155,1,4,7.48,4,1.0,4,7.48,3.48,3.48
551982,5/5/2021 13:56,15023,Milk-Bone MaroSnacks Dog Treats with Real Bone,Food,goshen,MA,01032-9604,East,42.4547,-72.8155,1,6,4.48,6,1.0,6,4.48,-1.52,-1.52
551982,5/5/2021 13:56,15023,Pet Grooming Brush,Grooming,goshen,MA,01032-9604,East,42.4547,-72.8155,1,5,5.9,5,1.0,5,5.9,0.9,0.9
551982,5/5/2021 13:56,15023,Pet Odor Eliminator,Cleanig Supplies,goshen,MA,01032-9604,East,42.4547,-72.8155,2,4,6.14,6.8,0.8,6.4,12.28,5.48,5.88
551982,5/5/2021 13:56,15023,Purina ONE SmartBlend Natural Adult Chicken 10lb,Food,goshen,MA,01032-9604,East,42.4547,-72.8155,1,10,11.7,10,1.0,10,11.7,1.7,1.7
551982,5/5/2021 13:56,15023,Purina Pro Plan Adult Sensitive Skin,Supplements,goshen,MA,01032-9604,East,42.4547,-72.8155,1,10,24.7,10,1.0,10,24.7,14.7,14.7
551982,,15023,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,goshen,MA,01032-9604,East,42.4547,-72.8155,1,20,41.5,20,1.0,20,41.5,21.5,21.5
551983,5/5/2021 14:32,17735,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",Disposables,orem,UT,84097-6425,West,40.2975,-111.6945,1,12,11.7,12,1.0,12,11.7,-0.300000000000001,-0.300000000000001
551985,5/5/2021 14:38,12395,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,lansing,MI,48910-1873,Central,42.7338,-84.5554,1,20,41.5,20,1.0,20,41.5,21.5,21.5
551986,5/5/2021 14:41,13888,Dog and Puppy Pads,Disposables,miami,FL,33185-5900,East,25.7743,-80.1937,2,5,11.7,8.5,0.8,8.0,23.4,14.9,15.4
551986,,13888,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",Disposables,miami,FL,33185-5900,East,25.7743,-80.1937,1,12,11.7,12,1.0,12,11.7,-0.300000000000001,-0.300000000000001
551987,5/5/2021 14:55,15005,Dog and Puppy Pads,Disposables,chelsea,MA,02150-2961,East,42.3918,-71.0328,2,5,11.7,8.5,0.8,8.0,23.4,14.9,15.4
551987,5/5/2021 14:55,15005,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",Disposables,chelsea,MA,02150-2961,East,42.3918,-71.0328,1,12,11.7,12,1.0,12,11.7,-0.300000000000001,-0.300000000000001
551987,,15005,Pet Grooming Brush,Grooming,chelsea,MA,02150-2961,East,42.3918,-71.0328,1,5,5.9,5,1.0,5,5.9,0.9,0.9
551987,5/5/2021 14:55,15005,Purina ONE SmartBlend Natural Adult Chicken 10lb,Food,chelsea,MA,02150-2961,East,42.3918,-71.0328,1,10,11.7,10,1.0,10,11.7,1.7,1.7
551987,5/5/2021 14:55,15005,Purina Pro Plan Adult Sensitive Skin,Supplements,chelsea,MA,02150-2961,East,42.3918,-71.0328,1,10,24.7,10,1.0,10,24.7,14.7,14.7
551989,5/5/2021 15:12,14423,Dog and Puppy Pads,Disposables,aurora,IL,60506-1221,Central,41.7606,-88.3201,11,5,9.3,40.0,0.3,16.5,102.3,62.3,85.8
551991,5/5/2021 15:29,14697,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",Disposables,greenwood,IN,46142-7402,Central,39.6137,-86.1067,1,12,11.7,12,1.0,12,11.7,-0.300000000000001,-0.300000000000001
551992,5/5/2021 15:31,12747,Dog and Puppy Pads,Disposables,concord,CA,94521,West,37.978,-122.0311,1,5,11.7,5,1.0,5,11.7,6.7,6.7
551992,5/5/2021 15:31,12747,NexGard Chew for Dogs,Food,concord,CA,94521,West,37.978,-122.0311,4,7,10.5,21.7,0.6,16.8,42.0,20.3,25.2
551992,5/5/2021 15:31,12747,Pet Odor Eliminator,Cleanig Supplies,concord,CA,94521,West,37.978,-122.0311,3,4,6.14,9.6,0.6,7.2,18.42,8.82,11.22
551993,5/5/2021 15:39,14697,Indoor Pet Camera,Electronics,greenwood,IN,46142-7402,Central,39.6137,-86.1067,1,7,-0.3,7,1.0,7,-0.3,-7.3,-7.3
551995,5/5/2021 15:42,,Earth Rated Dog Poop Bags,Disposables,,,,,,,2,4,7.48,6.8,0.8,6.4,14.96,8.16,8.56
551995,5/5/2021 15:42,,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",Disposables,,,,,,,1,12,46.74,12,1.0,12,46.74,34.74,34.74
551995,5/5/2021 15:42,,Pet Grooming Brush,Grooming,,,,,,,1,5,20.78,5,1.0,5,20.78,15.78,15.78
551995,5/5/2021 15:42,,Sheba Perfect Portions Pat Wet Cat Food,Food,,,,,,,1,2.5,7.28,2.5,1.0,2.5,7.28,4.78,4.78
551994,,12868,Dog and Puppy Pads,Disposables,kelseyville,CA,95451-8207,West,38.978,-122.8394,1,5,11.7,5,1.0,5,11.7,6.7,6.7
551994,5/5/2021 15:42,12868,Pet Odor Eliminator,Cleanig Supplies,kelseyville,CA,95451-8207,West,38.978,-122.8394,2,4,6.14,6.8,0.8,6.4,12.28,5.48,5.88
551994,5/5/2021 15:42,12868,Rechargeable Pet Nail Grinder,Grooming,kelseyville,CA,95451-8207,West,38.978,-122.8394,1,5,10.5,5,1.0,5,10.5,5.5,5.5
551994,5/5/2021 15:42,,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,,,,,,,1,20,41.5,20,1.0,20,41.5,21.5,21.5
551997,,,Dog and Puppy Pads,Disposables,,,,,,,1,5,28.74,5,1.0,5,28.74,23.74,23.74
551997,5/5/2021 15:47,,Earth Rated Dog Poop Bags,Disposables,,,,,,,1,4,7.48,4,1.0,4,7.48,3.48,3.48
551997,5/5/2021 15:47,,Earth Rated Dog Poop Bags,Disposables,,,,,,,1,4,19.78,4,1.0,4,19.78,15.78,15.78
551997,5/5/2021 15:47,,Indoor Pet Camera,Electronics,,,,,,,1,7,28.74,7,1.0,7,28.74,21.74,21.74
551997,5/5/2021 15:47,,Milk-Bone MaroSnacks Dog Treats with Real Bone,Food,,,,,,,1,6,4.48,6,1.0,6,4.48,-1.52,-1.52
551997,5/5/2021 15:47,,Milk-Bone MaroSnacks Dog Treats with Real Bone,Food,,,,,,,1,6,16.78,6,1.0,6,16.78,10.78,10.78
551997,5/5/2021 15:47,,Sheba Perfect Portions Paté Wet Cat Food,Food,,,,,,,1,2.5,7.28,2.5,1.0,2.5,7.28,4.78,4.78
552000,5/5/2021 15:56,,Canned Cat Food,Food,,,,,,,1,9,32.76,9,1.0,9,32.76,23.76,23.76
552000,5/5/2021 15:56,,Earth Rated Dog Poop Bags,Disposables,,,,,,,1,4,7.48,4,1.0,4,7.48,3.48,3.48
552000,5/5/2021 15:56,,Earth Rated Dog Poop Bags,Disposables,,,,,,,1,4,19.78,4,1.0,4,19.78,15.78,15.78
552000,5/5/2021 15:56,,Indoor Pet Camera,Electronics,,,,,,,1,7,28.74,7,1.0,7,28.74,21.74,21.74
552000,5/5/2021 15:56,,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",Disposables,,,,,,,1,12,46.74,12,1.0,12,46.74,34.74,34.74
552004,5/5/2021 16:31,17522,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,fairfield,TX,75840-5126,Central,31.7244,-96.1649,1,20,41.5,20,1.0,20,41.5,21.5,21.5
552005,5/5/2021 16:34,,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",Disposables,,,,,,,2,12,11.7,20.4,0.8,19.2,23.4,3.0,4.2
552007,5/5/2021 16:56,13269,Indoor Pet Camera,Electronics,santa ana,CA,92705-2859,West,33.7495,-117.8732,1,7,-0.3,7,1.0,7,-0.3,-7.3,-7.3
552007,5/5/2021 16:56,13269,Sheba Perfect Portions Pat Wet Cat Food,Food,santa ana,CA,92705-2859,West,33.7495,-117.8732,2,2.5,2.6,4.25,0.8,4.0,5.2,0.95,1.2
552010,5/5/2021 17:26,14713,Dog and Puppy Pads,Disposables,indianapolis,IN,46240,Central,39.7683,-86.1584,1,5,11.7,5,1.0,5,11.7,6.7,6.7
,5/5/2021 17:26,14713,Pet Grooming Brush,Grooming,indianapolis,IN,46240,Central,39.7683,-86.1584,1,5,5.9,5,1.0,5,5.9,0.9,0.9
552011,5/5/2021 17:28,13867,Dog and Puppy Pads,Disposables,medley,FL,33178-2556,East,25.8407,-80.3264,1,5,11.7,5,1.0,5,11.7,6.7,6.7
552011,5/5/2021 17:28,13867,NexGard Chew for Dogs,Food,medley,FL,33178-2556,East,25.8407,-80.3264,1,7,17.7,7,1.0,7,17.7,10.7,10.7
552013,5/5/2021 17:34,12451,Earth Rated Dog Poop Bags,Disposables,midvale,UT,84047,West,40.6111,-111.8999,7,4,7.48,20.8,0.5,14.0,52.36,31.56,38.36
,,12451,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",Disposables,midvale,UT,84047,West,40.6111,-111.8999,2,12,11.7,20.4,0.8,19.2,23.4,3.0,4.2
552013,5/5/2021 17:34,12451,Pet Grooming Brush,Grooming,midvale,UT,84047,West,40.6111,-111.8999,4,5,5.9,15.5,0.6,12.0,23.6,8.1,11.6
552018,5/5/2021 17:42,16817,Indoor Pet Camera,Electronics,gresham,OR,97080,West,45.5067,-122.4367,2,7,-0.3,11.9,0.8,11.2,-0.6,-12.5,-11.8
552023,5/5/2021 17:59,17624,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",Disposables,mckinney,TX,75070-2964,Central,33.1976,-96.6154,1,12,11.7,12,1.0,12,11.7,-0.300000000000001,-0.300000000000001
552025,5/5/2021 18:04,13969,Earth Rated Dog Poop Bags,Disposables,palm coast,FL,32164-5351,East,29.5541,-81.2208,2,4,7.48,6.8,0.8,6.4,14.96,8.16,8.56
552025,5/5/2021 18:04,13969,Purina ONE SmartBlend Natural Adult Chicken 10lb,Food,palm coast,FL,32164-5351,East,29.5541,-81.2208,1,10,11.7,10,1.0,10,11.7,1.7,1.7
552028,5/5/2021 18:09,13969,Pet Grooming Brush,Grooming,palm coast,FL,32164-5351,East,29.5541,-81.2208,2,5,5.9,8.5,0.8,8.0,11.8,3.3,3.8
552037,5/5/2021 19:48,,Rechargeable Pet Nail Grinder,Grooming,,,,,,,2,5,7.5,8.5,0.8,8.0,15.0,6.5,7.0
,5/6/2021 8:08,14156,Indoor Pet Camera,Electronics,titusville,FL,32780-6366,East,28.6122,-80.8076,8,7,-6.3,41.3,0.4,22.4,-50.4,-91.7,-72.8
552038,5/6/2021 8:08,14156,Pet Grooming Brush,Grooming,titusville,FL,32780-6366,East,28.6122,-80.8076,9,5,5.9,33.0,0.4,18.0,53.1,20.1,35.1
552039,5/6/2021 8:10,13081,Dog and Puppy Pads,Disposables,pittsburg,CA,94565-2126,West,38.028,-121.8847,11,5,9.3,40.0,0.3,16.5,102.3,62.3,85.8
552039,5/6/2021 8:10,,Indoor Pet Camera,Electronics,,,,,,,2,7,-0.3,11.9,0.8,11.2,-0.6,-12.5,-11.8
552039,5/6/2021 8:10,13081,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",Disposables,pittsburg,CA,94565-2126,West,38.028,-121.8847,4,12,11.7,37.2,0.6,28.8,46.8,9.6,18.0
,5/6/2021 8:10,13081,Pet Grooming Brush,Grooming,pittsburg,CA,94565-2126,West,38.028,-121.8847,4,5,5.9,15.5,0.6,12.0,23.6,8.1,11.6
552039,5/6/2021 8:10,,Purina ONE SmartBlend Natural Adult Chicken 10lb,Food,,,,,,,9,10,6.9,66.0,0.4,36.0,62.1,-3.9,26.1
552039,5/6/2021 8:10,13081,Sheba Perfect Portions Pat Wet Cat Food,Food,pittsburg,CA,94565-2126,West,38.028,-121.8847,4,2.5,2.6,7.75,0.6,6.0,10.4,2.65,4.4
552040,5/6/2021 8:19,12502,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,huntsville,AL,35824-3228,East,34.7298,-86.5859,1,20,41.5,20,1.0,20,41.5,21.5,21.5
552041,5/6/2021 8:25,14273,Earth Rated Dog Poop Bags,Disposables,ringgold,GA,30736-8771,East,34.9159,-85.1091,2,4,7.48,6.8,0.8,6.4,14.96,8.16,8.56
552044,5/6/2021 9:14,17423,ProBiotic Supplements for Dogs,Supplements,amarillo,TX,79124-4971,Central,35.2072,-101.8338,1,7,12.5,7,1.0,7,12.5,5.5,5.5
552045,5/6/2021 9:22,18241,Earth Rated Dog Poop Bags,Disposables,sun prairie,WI,53590-3830,Central,43.1835,-89.2134,2,4,7.48,6.8,0.8,6.4,14.96,8.16,8.56
552046,5/6/2021 9:44,15235,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",Disposables,silver spring,MD,20901-2028,East,38.9959,-77.0289,1,12,11.7,12,1.0,12,11.7,-0.300000000000001,-0.300000000000001
552046,5/6/2021 9:44,15235,Purina Pro Plan Adult Sensitive Skin,Supplements,silver spring,MD,20901-2028,East,38.9959,-77.0289,1,10,24.7,10,1.0,10,24.7,14.7,14.7
552048,5/6/2021 10:00,17809,Purina ONE SmartBlend Natural Adult Chicken 10lb,Food,charlottesville,VA,22911-8412,East,38.0293,-78.4767,10,10,6.9,73.0,0.3,30.0,69.0,-4.0,39.0
552048,5/6/2021 10:00,17809,Purina Pro Plan Adult Sensitive Skin,Supplements,charlottesville,VA,22911-8412,East,38.0293,-78.4767,7,10,17.5,52.0,0.5,35.0,122.5,70.5,87.5
552053,5/6/2021 10:16,16153,Canned Cat Food,Food,jal,NM,88252-0219,West,32.1132,-103.1935,1,9,10.5,9,1.0,9,10.5,1.5,1.5
552054,5/6/2021 10:19,15062,Earth Rated Dog Poop Bags,Disposables,newton,MA,02459-1363,East,42.3612,-71.1953,2,4,7.48,6.8,0.8,6.4,14.96,8.16,8.56
552054,5/6/2021 10:19,15062,Purina Pro Plan Adult Sensitive Skin,Supplements,newton,MA,02459-1363,East,42.3612,-71.1953,1,10,24.7,10,1.0,10,24.7,14.7,14.7
552054,5/6/2021 10:19,15062,Rechargeable Pet Nail Grinder,Grooming,newton,MA,02459-1363,East,42.3612,-71.1953,1,5,10.5,5,1.0,5,10.5,5.5,5.5
552056,5/6/2021 10:33,16353,ProBiotic Supplements for Dogs,Supplements,hempstead,NY,11550-3521,East,40.7063,-73.6187,12,7,7.7,60.9,0.3,25.2,92.4,31.5,67.2
552058,5/6/2021 10:36,15218,Dog and Puppy Pads,Disposables,north potomac,MD,20878-2460,East,39.098,-77.2369,6,5,9.3,22.5,0.5,15.0,55.8,33.3,40.8
552058,5/6/2021 10:36,15218,Earth Rated Dog Poop Bags,Disposables,north potomac,MD,20878-2460,East,39.098,-77.2369,4,4,7.48,12.4,0.6,9.6,29.92,17.52,20.32
552058,5/6/2021 10:36,15218,Purina ONE SmartBlend Natural Adult Chicken 10lb,Food,north potomac,MD,20878-2460,East,39.098,-77.2369,1,10,11.7,10,1.0,10,11.7,1.7,1.7
552058,5/6/2021 10:36,15218,Purina Pro Plan Adult Sensitive Skin,Supplements,north potomac,MD,20878-2460,East,39.098,-77.2369,2,10,17.5,17.0,0.8,16.0,35.0,18.0,19.0
